Asset,Time Period,Length of Return,Candle Pattern,Value,Avg % Return Following Pattern,Avg % Return In General,Avg Volume Following Pattern,Avg Volume In General,p-value Returns,p-value Volume,Occurrences
SPY,5y,3,Engulfing Pattern,-100,1.1352,0.1526,79245732.0,81928265,0.02,0.62,50
SPY,5y,3,Engulfing Pattern,100,-0.0005,0.1892,80244208.0,81901904,0.68,0.71,39
SPY,5y,3,Evening Doji Star,100,,0.1834,,81845080,,,0
SPY,5y,3,Evening Star,100,,0.1834,,81845080,,,0
SPY,5y,3,Up/Down-gap side-by-side white lines,-100,,0.1834,,81845080,,,0
SPY,5y,3,Up/Down-gap side-by-side white lines,100,-0.7816,0.1859,88879167.0,81850023,0.42,0.68,4
SPY,5y,3,Gravestone Doji,100,0.1842,0.1907,94322924.0,81728927,0.99,0.48,15
SPY,5y,3,Hammer,100,0.2337,0.1788,73728629.0,81962659,0.88,0.21,17
SPY,5y,3,Hanging Man,100,,0.1834,,81845080,,,0
SPY,5y,3,Harami Pattern,-100,0.1131,0.1992,83896545.0,81791174,0.8,0.69,52
SPY,5y,3,Harami Pattern,100,0.4159,0.1743,76103966.0,82045953,0.45,0.24,39
SPY,5y,3,Harami Cross Pattern,100,0.431,0.1793,78742092.0,81911986,0.76,0.69,12
SPY,5y,3,High-Wave Candle,100,0.2067,0.1864,86664633.0,81421302,0.93,0.34,77
SPY,5y,3,Hikkake Pattern,-100,0.0267,0.1765,74475095.0,82257270,0.59,0.09,50
SPY,5y,3,Hikkake Pattern,-200,1.3786,0.1728,93362604.0,81765211,0.11,0.39,8
SPY,5y,3,Hikkake Pattern,100,0.6453,0.1853,87975307.0,81603899,0.41,0.44,38
SPY,5y,3,Hikkake Pattern,200,-0.268,0.1841,71754279.0,81974754,0.56,0.26,13
SPY,5y,3,Modified Hikkake Pattern,-100,-1.2272,0.1829,83602867.0,81840809,1.0,1.0,1
SPY,5y,3,Modified Hikkake Pattern,-200,,0.1834,,81845080,,,0
SPY,5y,3,Modified Hikkake Pattern,100,,0.1834,,81845080,,,0
SPY,5y,3,Modified Hikkake Pattern,200,,0.1834,,81845080,,,0
SPY,5y,3,Homing Pigeon,100,0.3071,0.1784,73612988.0,81960986,0.83,0.22,16
SPY,5y,3,Identical Three Crows,100,,0.1834,,81845080,,,0
SPY,5y,3,In-Neck Pattern,-100,-2.4472,0.187,99756875.0,81844984,0.08,0.33,4
SPY,5y,3,In-Neck Pattern,100,,0.1834,,81845080,,,0
SPY,5y,3,Inverted Hammer,100,0.3283,0.1773,88092669.0,81758787,0.74,0.54,26
SPY,5y,3,Kicking,-100,,0.1834,,81845080,,,0
SPY,5y,3,Kicking,100,,0.1834,,81845080,,,0
SPY,5y,3,Kicking - bull/bear determined by the longer marubozu,-100,,0.1834,,81845080,,,0
SPY,5y,3,Kicking - bull/bear determined by the longer marubozu,100,,0.1834,,81845080,,,0
SPY,5y,3,Ladder Bottom,100,3.2618,0.1813,98629400.0,81808921,0.23,0.21,2
